status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CANDIDATE,0.444372,1.22,0.82,,,5540.0,4.81
CONFIRMED,3.80464,1.22,,,,,
CANDIDATE,7.28161,1.78,0.49,,518.0,3742.0,
CANDIDATE,7.28138,17.0,0.4,,,3784.0,4.88
CANDIDATE,7.28131,1.9,0.51,,,3748.0,
CANDIDATE,7.28076,2.6,0.4,,,,
CANDIDATE,7.28116,1.79,0.54,,,3726.0,4.7
CANDIDATE,4.58328,2.21,0.55,,,,
CANDIDATE,1.65336,1.51,0.55,,,,
CANDIDATE,5.28130579,,2.67,,,6161.41,3.65
CANDIDATE,5.28081,10.9,3.01,,,6227.0,3.68
CANDIDATE,440.0,16.3,0.85,,,4600.0,
CANDIDATE,30.0,22.8,0.89,,,3400.0,
CANDIDATE,,24.9,0.6,,,,
CANDIDATE,7.655533,2.328,0.75,,,5114.0,4.69
FALSE POSITIVE,27.77045,32.79,8.15,,441.0,5086.0,
FALSE POSITIVE,27.770388,25.1,0.71,,,4598.0,
CANDIDATE,0.25967056,0.742,0.59,,,3982.0,
CANDIDATE,0.259669,0.77,0.69,,,4340.0,4.25
CANDIDATE,5.54583,0.441,0.34,,,,
CANDIDATE,18.4502,2.52,0.72,,,,
CANDIDATE,35.621,1.89,0.9,,420.0,5440.0,4.51
CANDIDATE,4.1333,1.2,0.31,,,,
CANDIDATE,1.96133691,15.866,1.07,533.38,1226.0,4427.0,4.22
CANDIDATE,1.9611469,5.93,0.64,,,4166.0,
CANDIDATE,40.7302,7.8,0.98,,,5840.0,4.44
CANDIDATE,40.7362,7.28,0.85,,529.0,5618.0,
CANDIDATE,18.10220826,,2.05,,,6141.1,3.88
CANDIDATE,0.60408352,2.26,0.67,,,4331.0,
CANDIDATE,3.5269024,2.98,0.67,,,4332.0,
CANDIDATE,3.52725,1.21,0.26,,,,
CANDIDATE,3.52674,1.32,0.35,,,3413.0,4.87
CANDIDATE,3.52743,1.11,0.26,,,3624.0,5.01
CANDIDATE,6340.0,12.8,0.88,,,4800.0,
CANDIDATE,9.321691,17.325,0.68,,,5089.0,4.71
