status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CANDIDATE,23.610939,3.0,1.09,,,,
CANDIDATE,21.98131,197.025,22.41,,,4491.0,1.77
CANDIDATE,9.64954,2.74,0.59,,,,
CANDIDATE,6.5534,1.11,0.77,,,,
CANDIDATE,0.6719977,25.2,1.79,,,,
CANDIDATE,4.435717,1.325,0.85,,,5374.0,4.59
CANDIDATE,4.4358,1.3,0.88,,,,
CANDIDATE,3.31347,3.8,0.82,,,,
CANDIDATE,1.72767,21.3,0.37,,,,
CANDIDATE,4.69942,2.5,0.6,,,,
FALSE POSITIVE,4.7535,1.515,1.27,594.59,,5986.0,4.22
CANDIDATE,12.7256,2.16,1.0,,,,
CANDIDATE,45.4939,7.17,1.63,,,,
CANDIDATE,12.092216,4.7,0.84,,,,
CANDIDATE,12.092199,5.844,0.99,,,5333.0,4.2
CANDIDATE,12.09259,14.7,2.46,,,,
CANDIDATE,10.7946,,0.62,,,5045.0,
CANDIDATE,10.7946,2.34,0.62,,,,
CANDIDATE,4.06643,1.22,0.62,,,,
CANDIDATE,57.8396,9.8,0.73,,,,
CANDIDATE,4.49161,2.01,0.82,,,,
CANDIDATE,19.496649,2.216,1.16,,,5758.0,4.22
CANDIDATE,19.4989,2.32,1.08,,,,
CANDIDATE,3.78177,1.81,1.09,,,,
CANDIDATE,9.073266,23.32,1.76,,,,
CANDIDATE,2.010607,1.28,0.62,,,3806.0,4.64
CANDIDATE,13.6094,2.44,0.56,,,,
CANDIDATE,5.235714,4.3,1.17,,,,
CANDIDATE,5.23587,4.86,1.25,,,,
CANDIDATE,2.43807,2.15,0.62,,,,
CANDIDATE,6.80111,1.96,0.29,,,,
CANDIDATE,0.36432248,6.953,0.35,329.3,1086.0,3473.0,4.88
CANDIDATE,0.728639,17.2,0.69,,,,
CANDIDATE,17.1057,5.91,0.59,,,,
CANDIDATE,7.30383,2.18,0.71,,,,
FALSE POSITIVE,7.3274,2.123,0.96,104.43,,5197.0,4.61
CANDIDATE,4.684559,4.757,1.18,,,5829.0,4.24
CANDIDATE,57.8415,6.13,1.5,,,,
CONFIRMED,0.762406,0.99,0.89,,,5620.0,4.5
CANDIDATE,9.4538,1.91,0.93,,,,
CANDIDATE,7.51114,2.98,0.64,,,,
CANDIDATE,10.4347,1.69,0.82,,,,
CANDIDATE,15.246593,78.0,1.91,,,,
CONFIRMED,0.70531,1.6,1.0,,,5499.0,4.5
CONFIRMED,0.70531,1.48,,,,,
CONFIRMED,0.705386,1.73,1.01,,,,
CANDIDATE,4.284523,1.303,0.62,,,4360.0,4.69
CANDIDATE,4.28446,1.98,0.93,,,,
CANDIDATE,4.28475,1.2,0.55,,,,
CANDIDATE,6.53074,,0.69,,,3628.0,
CANDIDATE,6.53046,3.36,0.69,,,,
CANDIDATE,,6.71,1.26,,,,
CANDIDATE,14.753,3.0,0.57,,,,
CANDIDATE,21.77635,37.0,1.12,,,,
CANDIDATE,21.776971,19.9,0.84,,,,
CANDIDATE,8.78627,3.16,1.18,,,,
CANDIDATE,57.1050077,5.939,0.97,13.15,530.0,5816.0,4.49
CANDIDATE,57.10412,5.61,0.97,,,,
CANDIDATE,20.21535,2.61,0.97,,,,
CANDIDATE,39.3266,3.57,1.35,,,,
CANDIDATE,7.64514,6.5,1.06,,,,
CANDIDATE,46.47688,62.0,2.39,,,,
CANDIDATE,,12.32,1.7,,,,
CANDIDATE,6.73572,,1.17,,,5740.0,
CANDIDATE,6.73511,3.9,1.17,,,,
CANDIDATE,15.1563,3.01,1.17,,,,
CANDIDATE,13.26773,4.04,0.81,,,,
CANDIDATE,7.14238,1.75,0.68,,,,
CANDIDATE,2.653275,118.0,24.8,,,,
CANDIDATE,2.65323,62.277,13.73,,,4621.0,2.17
CANDIDATE,40.938,3.57,1.08,,,,
CANDIDATE,29.435233,2.917,1.2,,,5785.0,4.21
CANDIDATE,10.228,,0.46,,,4081.0,
CANDIDATE,10.22657,2.71,0.68,,,,
CANDIDATE,3.91764,2.94,1.35,,,,
CANDIDATE,6.4063,0.888,0.2,,,,
CANDIDATE,31.9761,3.92,1.46,,,,
CONFIRMED,0.571212,1.6,0.95,,,5613.0,4.6
CONFIRMED,0.571285,1.816,1.02,,,,
CONFIRMED,0.571292,1.52,0.87,,2333.0,5470.0,4.53
CONFIRMED,0.571336,1.82,0.95,4293.0,2063.0,5496.0,4.42
CONFIRMED,0.571308,1.46,0.83,,,5590.0,4.56
CONFIRMED,0.571331,1.82,0.98,,2119.0,5617.0,4.45
CONFIRMED,0.571292,1.725,0.99,4670.0,2300.0,5532.0,
CONFIRMED,0.571336,1.8,0.97,,,,
CONFIRMED,0.571,1.712,0.98,,,5496.0,4.42
CONFIRMED,0.571299,1.669,0.91,,,5590.0,4.54
CONFIRMED,13.339746,2.705,0.91,,,5590.0,4.54
CONFIRMED,13.334615,2.2,0.95,,,5613.0,4.6
CONFIRMED,13.33877,3.79,1.02,,,,
CONFIRMED,13.341245,2.53,0.83,,,5590.0,4.56
CONFIRMED,13.3397,2.5,0.87,,774.0,5470.0,4.53
CONFIRMED,13.339079,2.73,0.98,,741.0,5617.0,4.45
CONFIRMED,13.3387,2.77,0.95,64.0,722.0,5496.0,4.42
CONFIRMED,13.338687,2.8,0.97,,,,
CONFIRMED,13.3397,2.836,0.99,70.0,805.0,5532.0,
CANDIDATE,8.133218,2.051,1.08,,,5966.0,4.33
CANDIDATE,8.1344,2.36,1.15,,,,
CANDIDATE,17.78804,2.78,1.15,,,,
CANDIDATE,2.52894,1.44,0.96,,,,
CANDIDATE,2.311162,51.6,1.58,,,,
CANDIDATE,3.128977,1.282,0.98,,,5140.0,4.62
FALSE POSITIVE,0.872893,,,,,,
CANDIDATE,15.35092,16.31,0.94,,734.0,5417.0,4.46
CANDIDATE,15.32811688,16.407,0.94,49.02,675.0,5417.0,4.46
CANDIDATE,15.78157906,11.768,1.0,65.89,727.0,5780.0,4.44
CANDIDATE,15.78132,10.87,,,741.0,,
CANDIDATE,5.20256,3.58,1.0,,1000.0,5489.0,4.42
FALSE POSITIVE,16.77217,19.29,3.88,,1173.0,4898.0,
FALSE POSITIVE,16.770556,13.24,2.88,,,4939.0,3.54
CANDIDATE,48.249552,17.999,0.96,,,5792.0,4.52
CANDIDATE,25.988289,316.734,15.95,,,4382.0,2.07
CANDIDATE,18.69646,2.35,0.76,,571.0,5212.0,4.62
CANDIDATE,12.20239,4.15,1.01,,812.0,5869.0,4.45
CANDIDATE,4.18787,1.36,0.97,,1142.0,5589.98,4.46
CANDIDATE,19.57833,2.77,0.94,,644.0,5613.0,4.49
CANDIDATE,19.57572,2.843,0.91,,,5611.0,4.55
CANDIDATE,0.844548,1.005,0.17,,,3109.0,5.13
CANDIDATE,11.73677,1.82,0.76,,516.0,3984.72,4.47
CONFIRMED,0.728113,1.1,0.32,,,3782.0,5.0
CONFIRMED,0.72813,1.27,0.42,,932.0,3506.0,4.8
CANDIDATE,25.58142,8.35,1.91,,914.0,5409.94,3.85
CANDIDATE,10.583942,2.72,0.87,,,5280.0,4.53
CANDIDATE,5.69046,18.81,1.81,,1503.0,5549.0,3.91
CANDIDATE,1.055785,1.52,0.59,,,4315.0,4.73
CANDIDATE,37.20364,5.1,0.83,,498.0,5476.0,4.58
CANDIDATE,20.84919,3.01,2.37,,1349.0,9767.0,4.08
CONFIRMED,16.13655,2.02,1.0,,739.0,5886.0,4.47
CONFIRMED,16.141132,2.332,1.0,69.7,804.0,5868.0,
CONFIRMED,16.140442,2.06,0.98,,,5870.0,4.4
CANDIDATE,0.251647,27.977,0.99,,,5833.0,4.41
CANDIDATE,11.67254,3.87,1.23,,946.0,5725.0,4.27
CANDIDATE,4.03692,2.24,0.74,,870.0,4861.07,4.6
CANDIDATE,4.036791,2.338,0.73,,,4933.0,4.65
CANDIDATE,3.137611,,0.45,,,3579.0,4.83
CANDIDATE,9.632039,2.279,0.7,,,4646.0,4.61
CANDIDATE,18.239311,3.792,0.48,,,4015.0,4.81
CANDIDATE,11.109675,2.462,0.66,,,4813.0,4.66
CANDIDATE,5.1392756,2.174,0.71,41.31,706.0,4014.0,4.53
CANDIDATE,5.138,,,,,,
FALSE POSITIVE,10.7228,1.3,1.11,175.69,,5909.0,4.29
CANDIDATE,29.957262,8.456,0.71,,,4897.0,4.7
CANDIDATE,8.04473,,0.79,,,4975.0,
CANDIDATE,11.82469,,0.79,,,4975.0,
FALSE POSITIVE,2.0507,0.406,0.65,232.82,,4514.0,4.7
CANDIDATE,7.084267,3.848,0.77,,,4572.0,4.62
CANDIDATE,20.676056,3.302,0.77,,,4572.0,4.62
CANDIDATE,6.786539,1.2,0.97,,,5866.0,4.36
CANDIDATE,2.988541,3.504,1.02,,,5761.0,4.36
CANDIDATE,21.436032,2.486,0.47,,,3627.0,4.77
FALSE POSITIVE,0.877,,,,,,
FALSE POSITIVE,0.8768,8.468,0.52,4001.69,,3734.0,4.72
CANDIDATE,6.39595,,0.68,,,3972.0,
CANDIDATE,3.853494,6.957,0.74,,,4459.0,4.62
CANDIDATE,4.696045,2.57,0.78,,,5003.0,4.61
CANDIDATE,8.6387,,0.65,,,5120.0,
CANDIDATE,3.98547,,0.72,,,4256.0,
CANDIDATE,16.607299,2.532,0.76,,,4878.0,4.68
CANDIDATE,16.980197,2.705,0.88,,,5319.0,4.48
CANDIDATE,1.827,0.99,0.5,,986.0,3949.0,4.75
CANDIDATE,1.29655,8.559,0.59,,,3583.0,4.64
CANDIDATE,3.379516,4.742,0.74,,,4940.0,4.58
CANDIDATE,1.082361,7.158,1.72,,,5556.0,4.03
CANDIDATE,1.082,2.22,0.52,,928.0,3408.0,4.4
CANDIDATE,3.35,0.97,0.43,,851.0,4408.0,4.62
CANDIDATE,9.32,1.43,0.43,,516.0,4408.0,4.62
CANDIDATE,13.9145,,1.6,,,6640.0,
CANDIDATE,4.03776,,0.58,,,4689.0,
CANDIDATE,7.539949,2.511,1.21,,,5661.0,4.34
CANDIDATE,5.10555,10.889,1.11,,,4938.0,4.62
CANDIDATE,17.768404,2.787,0.76,,,4961.0,4.67
CANDIDATE,4.464438,6.184,1.43,,,5894.0,4.14
CANDIDATE,11.416439,3.034,0.45,,,3668.0,4.83
CANDIDATE,7.21084,2.26,1.05,,,5739.0,4.29
CANDIDATE,13.284219,1.233,0.12,,,3245.0,5.24
CANDIDATE,24.213117,0.505,0.12,,,3245.0,5.24
CANDIDATE,2.46564,30.186,2.5,,,7068.0,3.93
CANDIDATE,18.896192,1.975,0.55,,,4459.0,4.65
CONFIRMED,6.1802675,13.274,1.74,519.97,1330.0,6513.0,4.08
CONFIRMED,6.180235,11.781,1.59,642.0,1401.0,6202.0,4.16
CONFIRMED,6.1802679,,1.59,,,6202.0,4.16
CANDIDATE,13.107894,25.768,1.08,,,5732.0,4.35
CANDIDATE,1.925,1.07,0.24,,452.0,3067.0,4.77
CANDIDATE,10.1997,,0.97,,,5340.0,
CANDIDATE,21.371372,16.514,1.14,,,4692.0,4.41
CANDIDATE,7.098695,1.837,0.68,,,4857.0,4.68
CANDIDATE,4.20507413,3.324,0.88,197.51,956.0,5086.0,4.48
CANDIDATE,4.20566,,0.9,,,5006.0,
CANDIDATE,9.7051,,1.24,,,5090.0,
CANDIDATE,0.73217,1.108,0.83,,,4641.0,4.53
CANDIDATE,5.2289874,2.351,1.28,538.64,1342.0,6213.0,4.3
CANDIDATE,5.228352,2.282,1.27,,,6265.0,4.22
CANDIDATE,3.1764,0.953,0.74,133.98,,4434.0,4.63
CANDIDATE,2.419472,36.563,2.48,,,6830.0,3.97
CANDIDATE,6.770834,25.455,2.24,,,6310.0,4.01
CANDIDATE,14.616783,2.119,0.82,,,5174.0,4.62
CANDIDATE,13.7579,,0.76,,,4860.0,
CANDIDATE,3.3733,1.584,0.78,109.44,,5634.0,4.49
CANDIDATE,8.4356,2.919,0.78,704.73,,5634.0,4.49
CANDIDATE,3.09246,2.413,0.7,,,4051.0,4.66
CANDIDATE,20.379434,24.603,4.26,,,4993.0,3.28
CANDIDATE,4.420394,10.293,2.88,,,5943.0,3.92
CANDIDATE,1.248905,4.073,1.29,,,5496.0,4.24
CANDIDATE,12.505,1.673,0.97,58.96,,5214.0,4.47
CANDIDATE,11.95706,2.635,0.83,,,5292.0,4.58
CANDIDATE,7.624,2.455,1.29,321.73,,5998.0,4.24
CANDIDATE,6.363302,2.786,0.82,,,4482.0,4.62
CANDIDATE,5.164157,1.006,0.63,,,3832.0,4.63
CANDIDATE,18.001053,3.794,1.04,,,5579.0,4.36
CANDIDATE,9.426901,5.543,1.43,,,5895.0,4.18
CANDIDATE,4.71688,3.725,0.7,,,4846.0,4.68
CANDIDATE,18.436944,8.002,0.85,,,5308.0,4.53
CANDIDATE,5.751763,2.378,0.73,,,4256.0,4.62
CANDIDATE,5.7519475,2.964,0.84,37.77,690.0,4181.8,4.4
CANDIDATE,10.472764,2.354,0.73,,,4256.0,4.62
CANDIDATE,3.917682,5.581,0.66,,,4566.0,4.68
CANDIDATE,3.577501,3.3,0.87,95.46,870.0,4642.1,4.43
CANDIDATE,3.577394,3.05,0.8,,,4626.0,4.57
CANDIDATE,14.390721,2.55,1.02,,,5872.0,4.35
CANDIDATE,9.032248,2.364,0.76,,,4967.0,4.67
CANDIDATE,16.100178,2.576,0.76,,,4967.0,4.67
CANDIDATE,2.491154,9.774,1.76,,,6362.0,4.12
CANDIDATE,1.754,5.06,0.61,,873.0,4663.0,4.67
CANDIDATE,16.222,1.28,0.5,,417.0,3852.0,4.75
CANDIDATE,2.571267,5.97,1.75,,,6216.0,4.15
CONFIRMED,3650.0,12.442,2.7,0.19,183.0,4898.0,3.52
CANDIDATE,13.071041,2.285,1.25,,,5937.0,4.21
CANDIDATE,28.848339,3.657,1.75,,,5344.0,3.79
CANDIDATE,6.695687,2.17,0.91,,,5320.0,4.46
CANDIDATE,27.917236,2.551,0.91,,,5320.0,4.46
CANDIDATE,17.818211,2.77,0.69,,,3878.0,4.57
CANDIDATE,5.116834,31.682,1.59,,,6983.0,4.06
CANDIDATE,7.522109,2.249,1.39,,,6356.0,4.18
CANDIDATE,1.075,,0.57,,,3503.0,4.45
CANDIDATE,18.786043,2.846,0.77,,,5450.0,4.49
CANDIDATE,15.320606,1.77,1.12,,,5819.0,4.27
CANDIDATE,7.943604,1.992,0.87,,,5498.0,4.48
CANDIDATE,7.815366,2.403,0.76,,,4884.0,4.68
CANDIDATE,19.520805,2.318,0.76,,,4884.0,4.68
CANDIDATE,39.57057,23.661,2.04,,,5166.0,3.76
CANDIDATE,11.29231,2.348,0.69,,,4660.0,4.68
CANDIDATE,24.481285,2.49,0.76,,,4861.0,4.67
CANDIDATE,10.307387,2.602,0.88,,,5359.0,4.49
CANDIDATE,10.205377,6.31,2.36,,,6332.0,4.06
CANDIDATE,23.336739,5.824,2.36,,,6332.0,4.06
CANDIDATE,1.696716,5.738,1.99,,,5289.0,3.86
CANDIDATE,31.396001,10.695,1.78,,,5631.0,3.92
CANDIDATE,18.277358,1.933,0.64,,,4280.0,4.7
CANDIDATE,28.888589,6.05,1.32,,,6117.0,4.21
CANDIDATE,2.228112,1.398,0.69,,,4355.0,4.65
CONFIRMED,3.5951,1.95,1.71,1037.0,1616.0,5430.0,3.99
CONFIRMED,15.624,3.67,1.71,160.0,990.0,5430.0,3.99
CONFIRMED,35.747,3.94,1.71,53.0,752.0,5430.0,3.99
CANDIDATE,0.801864,1.433,0.39,,,3594.0,4.83
CANDIDATE,17.562214,12.272,1.62,,,5873.0,4.14
CANDIDATE,1.705,,,,,,
CANDIDATE,35.960194,2.45,0.67,,,4090.0,4.59
CANDIDATE,17.92,2.07,0.58,,407.0,4176.0,4.7
CANDIDATE,22.122365,3.715,0.97,,,5393.0,4.52
FALSE POSITIVE,3.287912,,1.02,,,5137.0,4.36
FALSE POSITIVE,0.505602,,0.91,,,4830.0,4.41
CANDIDATE,20.924593,,0.42,,,2980.0,4.2
FALSE POSITIVE,1.288312,,0.58,,,3412.0,4.67
CANDIDATE,19.581519,,0.86,,,5638.0,4.53
CANDIDATE,6.854931,,1.03,,,5360.0,4.34
CANDIDATE,6.85484646,15.655,1.06,126.51,855.0,4797.5,4.28
CANDIDATE,4.392503,1.11,0.67,,,4707.0,4.63
FALSE POSITIVE,0.598197,,1.25,,,5132.0,4.18
FALSE POSITIVE,2.804246,,2.43,,,5938.45,3.7
FALSE POSITIVE,0.691617,,1.75,,,5285.0,3.91
FALSE POSITIVE,0.540527,,1.04,,,5187.17,4.35
FALSE POSITIVE,11.349445,,1.7,,,6002.0,4.02
FALSE POSITIVE,5.998652,,2.67,,,4930.0,
FALSE POSITIVE,2.883162,,1.21,,,6100.45,4.33
FALSE POSITIVE,0.545251,,1.24,,,6074.26,4.31
FALSE POSITIVE,0.493967,,1.94,,,7437.0,4.09
FALSE POSITIVE,0.504475,,1.35,,,6963.0,4.36
FALSE POSITIVE,0.781949,,1.59,,,5480.9,4.02
FALSE POSITIVE,5.21459,,1.0,,,5457.16,4.42
CANDIDATE,30.921004,,1.76,,,6680.0,4.1
FALSE POSITIVE,1.332797,,1.06,,,6519.0,4.51
FALSE POSITIVE,0.592255,,1.05,,,5660.49,4.4
FALSE POSITIVE,8.07181,,1.24,,,5709.51,4.26
FALSE POSITIVE,0.678473,,1.59,,,5744.27,4.05
FALSE POSITIVE,26.286249,,1.31,,,5980.95,4.24
CANDIDATE,11.634988,2.605,1.1,,,6020.0,4.31
FALSE POSITIVE,0.660085,,1.16,,,4401.0,4.15
FALSE POSITIVE,3.37433,,3.78,,,4708.0,
CANDIDATE,14.223889,21.936,1.16,,,5023.0,4.52
CANDIDATE,10.973135,2.67,0.7,,,4940.0,4.67
FALSE POSITIVE,9.485826,,,,,,
FALSE POSITIVE,7.220585,,,,,,
CONFIRMED,5.745912,,0.31,,,3390.0,4.94
CONFIRMED,5.7459996,,0.31,,,3348.0,4.93
CONFIRMED,5.7459945,2.061,0.32,4.0,393.0,3413.0,4.91
CONFIRMED,5.746007,2.025,0.31,7.2,456.0,3348.0,4.93
CONFIRMED,1.208957,1.75,0.65,,1044.0,4255.0,4.7
CONFIRMED,1.2089755,1.686,0.63,325.75,1183.0,4199.0,4.65
CONFIRMED,1.208966,1.58,0.62,256.0,1114.0,4219.0,4.66
CONFIRMED,1.2089819,1.577,0.6,318.0,1175.0,4305.0,
CONFIRMED,1.2089802,1.62,0.61,315.0,1172.0,4269.0,4.65
CONFIRMED,1.208974,1.44,0.58,,1035.0,4236.0,4.72
CONFIRMED,1.2089749,,0.65,,,4255.0,4.7
CONFIRMED,1.209,1.571,0.6,,,4255.0,4.7
CONFIRMED,1.2089819,1.577,0.6,,,4340.0,4.66
CONFIRMED,3.648096,1.241,0.6,73.0,813.0,4305.0,
CONFIRMED,3.648083,1.269,0.61,72.0,811.0,4269.0,4.65
CONFIRMED,3.648103,1.13,0.58,,716.0,4236.0,4.72
CONFIRMED,3.6481145,,0.65,,,4255.0,4.7
CONFIRMED,3.6480957,1.241,0.6,,,4340.0,4.66
CONFIRMED,3.64823,1.24,0.62,59.0,771.0,4219.0,4.66
CONFIRMED,3.64802,1.36,0.65,,722.0,4255.0,4.7
CONFIRMED,6.20141,2.1,0.65,,605.0,4255.0,4.7
CONFIRMED,6.201467,2.07,0.61,35.6,680.0,4269.0,4.65
CONFIRMED,6.201812,1.89,0.58,,600.0,4236.0,4.72
CONFIRMED,6.2014698,2.022,0.6,,,4340.0,4.66
CONFIRMED,6.20147,2.022,0.6,36.0,681.0,4305.0,
CONFIRMED,6.20142,2.04,0.62,29.0,646.0,4219.0,4.66
CONFIRMED,3.799847,10.581,0.62,,818.0,4390.0,4.67
CONFIRMED,3.80001,40.0,0.68,,,4441.0,4.63
CONFIRMED,3.7999139,10.8,0.64,,,4171.0,
CONFIRMED,3.799878,11.8,0.69,,,,
CONFIRMED,3.79985297,,0.62,,,4390.0,4.67
CONFIRMED,3.799847,10.581,0.62,,,4390.0,
CONFIRMED,3.7998534,,0.62,,,4390.0,4.67
CONFIRMED,3.7998529,,,,,,
CONFIRMED,3.7998451,13.275,0.76,22.2,604.0,4133.4,4.49
CONFIRMED,2.79082577,16.737,1.47,1998.78,1705.0,6635.91,4.25
CONFIRMED,2.790862,16.72,1.44,,,,
CONFIRMED,2.79083,16.926,1.47,,,6566.0,3.39
CONFIRMED,2.790833,,,,,6568.0,4.26
CONFIRMED,2.7908327,16.432,1.43,,1840.0,6566.0,4.24
CONFIRMED,2.7908235,,1.43,,,6566.0,4.24
CONFIRMED,2.7908327,16.432,1.43,,,6566.0,
CONFIRMED,2.7908821,19.1,1.8,,,6659.0,
CONFIRMED,2.790963,17.0,1.88,3515.0,,6863.0,4.08
CONFIRMED,2.79082479,,,,,,
CONFIRMED,2.790825,,1.43,,,6566.0,4.24
CONFIRMED,3.6191613,16.926,1.44,,1637.0,6060.0,4.12
CONFIRMED,3.619188,18.03,1.54,,1596.0,6563.0,4.19
CONFIRMED,3.6191546,,1.44,,,6060.0,4.12
CONFIRMED,3.619167,17.7,1.51,,,,
CONFIRMED,3.6191634,16.668,1.46,,,5871.0,4.13
CONFIRMED,3.619192,10.2,0.89,,,,
CONFIRMED,3.1428347,15.513,,,,,
CONFIRMED,3.142846,8.845,1.29,,,6235.0,4.22
CONFIRMED,3.142702,7.76,1.17,,1446.0,6357.0,4.36
CONFIRMED,3.142833,15.132,2.21,,2097.0,6408.0,3.92
CONFIRMED,3.14272,7.8,1.22,,,,
CONFIRMED,3.142811,5.69,0.82,,,,
CONFIRMED,4.175186,12.92,1.1,,1203.0,5950.0,4.4
CONFIRMED,4.175235,12.77,1.09,,,,
CONFIRMED,4.175187,13.4,1.15,,,,
CONFIRMED,4.1752387,13.843,1.16,561.0,1356.0,6149.0,4.4
CONFIRMED,1.915298,17.2,1.94,,,,
CONFIRMED,1.9153073,11.938,1.5,,1823.0,5366.0,4.09
CONFIRMED,1.9153073,11.938,1.5,,,5366.0,
CONFIRMED,1.915311,13.141,1.58,,,5494.0,4.02
CONFIRMED,1.9153196,14.42,1.59,,,,
CONFIRMED,1.915291,13.85,1.56,,1746.0,5599.0,4.1
CONFIRMED,9.55385,2.4,1.28,,1146.0,6254.0,4.23
CONFIRMED,9.55237,2.44,1.3,,1153.0,6327.0,4.25
CONFIRMED,9.55804,2.32,1.29,,1046.0,6277.0,4.25
CONFIRMED,9.554515,2.329,1.27,,,6321.0,4.19
CONFIRMED,9.5521,2.23,1.18,240.0,,6290.0,4.29
CONFIRMED,21.05788,4.31,1.29,,804.0,6277.0,4.25
CONFIRMED,21.0576,3.95,1.18,83.0,,6290.0,4.29
CONFIRMED,21.056614,,1.18,,,6290.0,4.29
CONFIRMED,21.05603,4.786,1.3,,,6244.0,
CONFIRMED,21.057504,4.294,1.27,,,6321.0,4.19
CONFIRMED,21.05683,4.05,1.24,,,6498.0,4.37
CONFIRMED,21.05731,4.98,1.31,,,6256.0,4.24
CONFIRMED,21.058,4.4,1.28,,874.0,6254.0,4.23
CONFIRMED,21.05704,4.35,1.3,,886.0,6327.0,4.25
CONFIRMED,1.62116,1.31,1.59,,2130.0,5799.0,4.05
CONFIRMED,479.9,,1.59,,370.0,5799.0,4.05
CONFIRMED,0.959622,1.6,0.83,,,5438.0,4.6
CONFIRMED,0.96,1.626,0.88,,,5261.0,4.47
CONFIRMED,0.959665,1.624,0.84,,,5366.0,4.54
CONFIRMED,0.959632,1.574,0.83,,1759.0,5286.0,4.51
CONFIRMED,0.95965428,1.627,0.87,,1777.0,5300.0,4.47
CONFIRMED,0.959624,1.7,0.87,,1669.0,5528.0,4.53
CONFIRMED,0.959628,1.557,0.83,,1860.0,5370.0,4.52
CONFIRMED,0.959641,1.67,0.88,1650.0,1774.0,5261.0,
CONFIRMED,0.959628,1.8,0.88,,,,
CONFIRMED,0.959641,1.7,0.86,1625.0,,5261.0,4.47
CONFIRMED,29.8464948,2.923,0.87,,565.0,5300.0,4.47
CONFIRMED,29.875221,2.3,0.83,,,5438.0,4.6
CONFIRMED,29.84622,2.74,0.83,,548.0,5286.0,4.51
CONFIRMED,29.8454,3.01,0.86,16.6,,5261.0,4.47
CONFIRMED,,,,,,,
CONFIRMED,29.83832,2.86,0.87,,531.0,5528.0,4.53
CONFIRMED,29.839835,3.0,0.88,,,,
CONFIRMED,29.8454,2.85,0.83,,500.0,5370.0,4.52
CONFIRMED,29.844982,2.831,0.84,,,5366.0,4.54
CONFIRMED,29.8454,3.0,0.88,16.9,564.0,5261.0,
CONFIRMED,8.4783,,0.87,,860.0,5300.0,4.47
CONFIRMED,8.509,,0.86,88.9,,5261.0,4.47
CONFIRMED,8.4112,,0.88,,,5261.0,
CONFIRMED,96.63,,0.88,,,5261.0,
CONFIRMED,102.09,,0.87,,375.0,5300.0,4.47
CONFIRMED,0.719573,1.613,1.22,,,,4.34
CONFIRMED,0.719573,1.613,1.22,6130.0,2463.0,5959.0,
CONFIRMED,0.71957121,1.611,1.26,6635.86,2302.0,5910.0,4.27
CONFIRMED,0.719597,,1.22,,,6080.0,4.34
CONFIRMED,11.814417,,1.66,,,5499.0,4.04
CONFIRMED,11.81417262,6.972,1.79,275.64,1039.0,5609.0,3.93
CONFIRMED,11.8143,7.398,1.75,,1089.0,5576.0,4.02
CONFIRMED,11.81399,6.86,1.66,,1053.0,5499.0,4.04
CONFIRMED,11.8143,7.263,1.73,,1068.0,5622.0,4.08
CONFIRMED,9.1205,2.53,0.72,,690.0,5089.0,4.59
CONFIRMED,9.1205,2.466,0.72,,,5089.0,4.59
CONFIRMED,9.0949,2.53,0.72,51.4,745.0,5089.0,
CONFIRMED,9.100412,2.594,0.77,28.64,644.0,5013.7,4.58
CONFIRMED,15.572098,,1.34,,,6226.0,
CONFIRMED,15.5712,2.9,1.4,,,6199.0,4.18
CONFIRMED,15.5718552,2.443,1.31,115.21,912.0,6352.33,4.31
CONFIRMED,31.70648,,1.34,,,6226.0,
CONFIRMED,31.71802083,2.3,1.31,55.62,697.0,6352.33,4.31
CONFIRMED,31.6978,2.56,1.4,,,6199.0,4.18
CONFIRMED,1114.0,,1.34,,,6226.0,
CONFIRMED,48.1,,1.35,,,6199.0,4.2
CONFIRMED,278.3618,,1.28,,,,
CONFIRMED,156.0,3.96,1.4,,,6199.0,4.18
CONFIRMED,,,1.34,,,6226.0,
CONFIRMED,131.0,5.51,1.4,,,6199.0,4.18
CONFIRMED,1084.0,,1.34,,,6226.0,
CONFIRMED,324.0,10.2,1.4,,,6199.0,4.18
CONFIRMED,46.4,,1.35,,,6199.0,4.2
CONFIRMED,19.3044,3.84,0.98,,,5620.0,4.5
CONFIRMED,19.30481,2.98,0.72,,,,
CONFIRMED,19.307044,3.735,0.9,,,5638.0,4.53
CONFIRMED,19.30691,3.92,0.93,,703.0,5647.0,
CONFIRMED,19.307107,3.83,0.86,,,5454.0,
CONFIRMED,19.3037,4.37,1.08,54.1,,5581.0,4.33
CONFIRMED,19.292062,,0.97,,,5533.0,4.45
CONFIRMED,1.673737,1.52,1.27,,,,
CONFIRMED,1.6739024,3.45,1.19,990.0,1094.0,6120.0,4.36
CONFIRMED,1.6739,,1.22,,,6115.49,4.33
CONFIRMED,1.673847,3.6,1.23,,,,
CONFIRMED,1.673918,4.67,1.57,,,,
CONFIRMED,1.6739029,3.444,1.22,757.17,1461.0,6115.5,4.33
CONFIRMED,1.673916,3.5,1.19,,,6120.0,
CONFIRMED,1.6739035,3.88,1.24,1915.0,1841.0,5945.0,4.33
CONFIRMED,1.673833,3.59,1.22,,1748.0,6168.0,4.35
CONFIRMED,1.674,,1.22,,,6115.49,4.33
CONFIRMED,1.67344228,,1.22,,,6115.49,4.33
